X,Y,Bin_Type,Bin_code
147.3195288,-42.88672009,120lt Cage General Waste,W
147.3250498,-42.90266472,120lt Cage General Waste,W
147.3125027,-42.87701442,120lt Cage General Waste,W
147.3079398,-42.87680405,120lt Cage General Waste,W
147.3227303,-42.92112186,120lt Cage General Waste,W
147.3169501,-42.87742702,120lt Cage General Waste,W
147.3169479,-42.877757,120lt Cage General Waste,W
147.3281681,-42.881194,120lt Cage General Waste,W
147.3286653,-42.880416,120lt Cage General Waste,W
147.3283329,-42.87777962,120lt Cage General Waste,W
147.3255489,-42.88394246,120lt Cage General Waste,W
147.3243654,-42.88397648,120lt Cage General Waste,W
147.3242248,-42.88388409,120lt Cage General Waste,W
147.325146,-42.88305273,120lt Cage General Waste,W
147.3247449,-42.88336293,120lt Cage General Waste,W
147.3246855,-42.88347239,120lt Cage General Waste,W
147.3145412,-42.87212627,120lt Cage General Waste,W
147.3148817,-42.87250443,120lt Cage General Waste,W
147.3145865,-42.87244432,120lt Cage General Waste,W
147.2991072,-42.85193718,120lt Cage General Waste,W
147.3248097,-42.9002662,120lt Cage General Waste,W
147.2993851,-42.89704862,120lt Cage General Waste,W
147.3306375,-42.88637757,120lt Cage General Waste,W
147.3285729,-42.88370903,120lt Cage General Waste,W
147.3283974,-42.88023627,120lt Cage General Waste,W
147.3285652,-42.88031471,120lt Cage General Waste,W
147.3287347,-42.88013403,120lt Cage General Waste,W
147.3279972,-42.88287108,120lt Cage General Waste,W
147.3271515,-42.88501254,120lt Cage General Waste,W
147.3284134,-42.88307734,120lt Cage General Waste,W
147.317209,-42.87676755,120lt Cage General Waste,W
147.3170132,-42.87669496,120lt Cage General Waste,W
147.3170302,-42.87705873,120lt Cage General Waste,W
147.3172666,-42.87708323,120lt Cage General Waste,W
147.3133417,-42.87722127,120lt Cage General Waste,W
147.3155943,-42.86959926,120lt Cage General Waste,W
147.319922,-42.87275245,120lt Cage General Waste,W
147.3135491,-42.86648516,120lt Cage General Waste,W
147.3266962,-42.8816141,120lt Cage General Waste,W
147.3299747,-42.883418,120lt Cage General Waste,W
147.3301425,-42.88352218,120lt Cage General Waste,W
147.3296336,-42.88348062,120lt Cage General Waste,W
147.3314161,-42.88042558,120lt Cage General Waste,W
147.3323556,-42.88091183,120lt Cage General Waste,W
147.3304158,-42.88163037,120lt Cage General Waste,W
147.3283088,-42.88017332,120lt Cage General Waste,W
147.3283582,-42.88119689,120lt Cage General Waste,W
147.3288503,-42.88219653,120lt Cage General Waste,W
147.3298173,-42.88262678,120lt Cage General Waste,W
147.3294463,-42.8822662,120lt Cage General Waste,W
147.3271821,-42.88138546,120lt Cage General Waste,W
147.3294405,-42.88241748,120lt Cage General Waste,W
147.3296246,-42.88252419,120lt Cage General Waste,W
147.3299167,-42.8824694,120lt Cage General Waste,W
147.3296825,-42.88241244,120lt Cage General Waste,W
147.3291923,-42.88205243,120lt Cage General Waste,W
147.3290945,-42.88209187,120lt Cage General Waste,W
147.3295456,-42.88168746,120lt Cage General Waste,W
147.3294488,-42.88156832,120lt Cage General Waste,W
147.3287522,-42.88213819,120lt Cage General Waste,W
147.3278297,-42.88075188,120lt Cage General Waste,W
147.327336,-42.88101947,120lt Cage General Waste,W
147.3276815,-42.88070875,120lt Cage General Waste,W
147.3284915,-42.87791879,120lt Cage General Waste,W
147.3259065,-42.88137588,120lt Cage General Waste,W
147.3253501,-42.88118687,120lt Cage General Waste,W
147.3249325,-42.88150589,120lt Cage General Waste,W
147.3245229,-42.88180126,120lt Cage General Waste,W
147.3271158,-42.88336773,120lt Cage General Waste,W
147.3257971,-42.88245428,120lt Cage General Waste,W
147.3275034,-42.88327855,120lt Cage General Waste,W
147.327361,-42.88327781,120lt Cage General Waste,W
147.3291865,-42.88229038,120lt Cage General Waste,W
147.3261173,-42.88152745,120lt Cage General Waste,W
147.3286788,-42.88234531,120lt Cage General Waste,W
147.325823,-42.88273169,120lt Cage General Waste,W
147.3264998,-42.88309761,120lt Cage General Waste,W
147.3280118,-42.88275343,120lt Cage General Waste,W
147.3266756,-42.88300273,120lt Cage General Waste,W
147.3258762,-42.88262541,120lt Cage General Waste,W
147.3268307,-42.8831043,120lt Cage General Waste,W
147.3262045,-42.88206692,120lt Cage General Waste,W
147.3261883,-42.88443536,120lt Cage General Waste,W
147.3248789,-42.88343749,120lt Cage General Waste,W
147.3256323,-42.88409876,120lt Cage General Waste,W
147.3255887,-42.88401905,120lt Cage General Waste,W
147.3261499,-42.8841896,120lt Cage General Waste,W
